[14.4101188, 46.4464282]
[11.0472646, 47.5068832]
[10.9180158, 47.5265671]
[13.6588774, 46.2662189]
[11.1914684, 47.5443367]
[10.2300323, 47.0485358]
[16.1357135, 44.2524675]
[9.5608307, 47.1666716]
[15.0741663, 46.0883324]
[6.3559521, 44.884701]
[7.5027502, 45.9644075]
[10.9552332, 43.15762]
[6.8275635, 45.4051415]
[7.2574395, 45.5960003]
[11.1874892, 46.0319501]
[6.3082538, 45.005036]
[14.3938533, 41.6324715]
[11.0374405, 46.1432672]
[7.400272, 45.9791686]
[6.3369437, 43.2758382]
[12.1822222, 46.23]
[6.2861465, 45.8270873]
[13.4010623, 46.6863802]
[7.110834, 46.0541724]
[5.9344417, 44.9819478]
[6.6602736, 44.4497277]
[6.4341494, 45.063891]
[6.2783988, 43.7559031]
[6.1401931, 46.0941904]
[5.7102326, 45.2346628]
[6.6887164, 45.643101]
[5.8554622, 44.9769195]
[7.1475, 46.3822222]
[13.5687769, 47.7545616]
[7.1719413, 45.4105599]
[14.4987492, 46.7322217]
[17.9840751, 43.7675729]
[16.4002778, 44.2452778]
[16.9774162, 44.970989]
[17.7438089, 43.9386]
[14.7223489, 47.5531381]
[8.8312903, 46.3667234]
[9.8722222, 46.9311111]
[15.0131705, 44.7943613]
[7.6585657, 45.976451]
[15.0854117, 47.5598231]
[13.7150604, 46.7590882]
[8.1247441, 46.6350978]
[11.6879398, 45.9998035]
[6.8525295, 46.0248299]
[7.2123219, 44.0341649]
[6.1193986, 45.6443986]
[6.2191592, 44.4958341]
[6.7808258, 46.2625007]
[7.0065076, 46.0771325]
[7.3842062, 44.1227794]
[7.365899, 45.9041388]
[6.93, 45.1805556]
[7.6845227, 44.1739657]
[6.9717366, 44.154364]
[6.5516637, 46.0997245]
[5.847248, 45.4664062]
[6.6450238, 46.3008408]
[6.2297223, 45.6317326]
[6.7058837, 44.2650103]
[7.2021197, 44.1105097]
[6.479352, 43.814754]
[6.9190876, 43.8658178]
[9.4083966, 42.4632835]
[7.2514708, 45.8919362]
[7.1492499, 43.8963495]
[8.4529147, 45.9456683]
[6.4958258, 46.2305563]
[5.8326239, 44.5121144]
[5.9617107, 44.508554]
[6.5299921, 44.0683359]
[5.6472031, 44.7241179]
[5.5801767, 45.8098742]
[6.3251994, 46.0039542]
[6.1826742, 45.900609]
[6.9694053, 43.814938]
[5.7609029, 45.9012319]
[5.8669421, 45.8933375]
[12.118364, 42.9444456]
[9.7820763, 45.8620937]
[10.1733333, 45.9141667]
[10.8888535, 45.8100909]
[13.0803831, 46.400662]
[14.0859108, 42.086332]
[7.9395693, 44.1368191]
[9.2099968, 42.581196]
[8.5658935, 44.433459]
[6.8979714, 45.7531231]
[12.6419964, 46.4413775]
[13.1107481, 42.587213]
[12.5658983, 46.5125311]
[10.6983253, 45.9385884]
[13.4448633, 41.4669532]
[13.1991709, 42.3945219]
[15.7726185, 41.7270722]
[13.3658332, 41.505]
[10.641351, 45.8021777]
[10.2016737, 46.5786065]
[12.7042737, 43.4610632]
[15.1307298, 40.7817252]
[12.0113763, 45.9459356]
[14.0292521, 41.4085828]
[10.6165899, 46.4436507]
[12.738573, 46.5972591]
[13.1811838, 46.2945179]
[10.7002815, 44.193672]
[12.0533469, 46.3801303]
[15.156407, 41.3620967]
[12.5845141, 46.3118332]
[12.4170623, 46.274263]
[11.3238241, 46.2898752]
[12.6320064, 42.4075134]
[12.8868327, 42.7169397]
[12.7363557, 46.5426414]
[12.2005443, 46.5754463]
[9.357058, 46.0507661]
[12.3214837, 42.664982]
[12.9966589, 46.2744496]
[12.7458779, 43.3681892]
[13.6790973, 41.3992586]
[13.3052702, 41.4027885]
[10.6668692, 45.7249952]
[12.6372649, 46.2839283]
[7.3849164, 45.678861]
[7.1944304, 45.7754147]
[13.0372213, 42.9519229]
[12.772554, 42.674096]
[10.4487549, 46.0242862]
[11.4474133, 43.8768586]
[13.6006189, 42.7633755]
[13.3957354, 42.6181172]
[9.6784249, 44.3632997]
[11.7992028, 45.8734305]
[14.2841077, 41.8472058]
[9.2073797, 41.8494655]
[11.0054158, 44.0282924]
[13.9536111, 41.3911111]
[9.1746368, 40.8492932]
[8.6480764, 46.123383]
[14.186523, 41.2367569]
[13.8058911, 41.3497532]
[13.1513403, 41.6050198]
[10.5386059, 45.7369492]
[13.8603276, 41.8026301]
[13.9171317, 41.1629649]
[7.2563052, 44.2263529]
[11.5816667, 46.0455556]
[13.4784216, 46.2217077]
[8.4540677, 45.8817507]
[13.0072119, 42.2248307]
[12.5179857, 43.5577701]
[7.8202957, 45.7156339]
[8.6894385, 45.9225058]
[13.0856868, 42.3603292]
[8.9889165, 42.4667689]
[12.9307879, 46.2486305]
[13.0850073, 46.299773]
[13.4841163, 41.8027116]
[11.8214153, 46.1045095]
[12.8667592, 42.103783]
[12.1347283, 46.4199771]
[12.8887889, 43.1013796]
[12.7199201, 46.6296155]
[12.6195192, 43.5141673]
[13.6655365, 41.3222133]
[13.9186548, 41.727418]
[10.2275001, 46.5361065]
[12.9582977, 46.3475659]
[10.213574, 44.134199]
[10.5920484, 45.6730657]
[10.1094444, 45.8852778]
[12.5535699, 46.3649347]
[13.5570478, 46.4560625]
[12.5772222, 46.2397222]
[12.6580795, 46.5990179]
[11.2991623, 45.770834]
[12.2578732, 46.3845351]
[12.2681893, 46.3366435]
[11.1921269, 46.3603987]
[14.0106004, 41.9259578]
[9.0579488, 42.216131]
[8.9498905, 45.9137631]
[9.3268081, 42.3962486]
[9.2098416, 45.9154362]
[8.9475187, 45.9771496]
[13.9725, 41.2969444]
[13.0917715, 41.5697639]
[12.7998104, 42.8660347]
[13.1376726, 46.4750147]
[10.0633034, 44.3671359]
[13.6110075, 42.1451698]
[10.4377799, 46.397921]
[12.6714328, 43.0570489]
[7.9706991, 45.8730129]
[8.8660317, 46.1038934]
[12.7427582, 42.3277384]
[12.9973605, 42.4733035]
[13.0819694, 46.5080198]
[12.3533295, 43.1974585]
[11.9051345, 45.9813946]
[12.6039508, 42.6291896]
[11.7492946, 46.135559]
[12.8352241, 46.3438773]
[13.3817219, 42.1469714]
[11.4138837, 45.9306598]
[12.9056362, 46.3631395]
[13.2749722, 42.8244115]
[7.089988, 44.6674397]
[13.1516626, 46.5614684]
[8.7141667, 46.3541667]
[10.398576, 46.1852902]
[13.3957863, 47.2062367]
[6.3510082, 43.8417408]
[9.1441698, 47.0700049]
[8.9427667, 47.0487355]
[10.3787789, 46.900689]
[10.6414282, 47.3231897]
[12.0396158, 47.0600986]
[17.9133871, 42.807064]
[7.9242732, 46.4124473]
[8.7695308, 46.7426756]
[14.8451834, 47.8485494]
[13.4995633, 46.5659298]
[9.3813004, 44.5766677]
[10.544925, 46.509052]
[14.361768, 44.6715626]
[14.3460368, 45.0780751]
[16.1137646, 43.0296281]
[15.8760679, 44.5786164]
[12.7487382, 43.6368086]
[17.6034629, 45.5213924]
[10.4782868, 47.1742592]
[12.8039982, 46.9482341]
[10.0408333, 47.1719444]
[12.9858333, 41.9722222]
[6.1355776, 45.1377652]
[5.9349827, 44.6267401]
[6.453238, 45.995884]
[6.7875068, 44.8222932]
[6.5621969, 45.1187132]
[6.4111137, 45.01258]
[11.5932061, 46.912426]
[12.1855479, 46.6725105]
[6.7995823, 44.6045737]
[6.0958559, 45.0071269]
[9.9080521, 46.3824278]
[9.6995318, 46.521752]
[10.2909392, 46.6187514]
[9.2252747, 46.4811154]
[12.0361111, 46.2188889]
[9.5591767, 46.5203948]
[8.7866667, 46.6119444]
[9.872776, 46.6213936]
[9.7227778, 46.4458333]
[9.9565262, 46.4884433]
[10.0714382, 46.7989742]
[8.9112231, 46.6182667]
[10.028322, 46.4511105]
[10.2874958, 46.5702756]
[9.810032, 46.5432535]
[10.1172543, 46.4260109]
[10.2794363, 46.7444391]
[9.5616667, 46.4872222]
[10.413325, 46.8008356]
[9.2396924, 46.9079048]
[10.3925516, 46.6627506]
[10.2961046, 46.6791611]
[9.9627708, 46.6869464]
[14.0626166, 41.9439612]
[9.8158164, 45.9345913]
[9.6019444, 46.295]
[8.7678851, 46.5250591]
[10.0555039, 45.9565995]
[8.2380556, 46.2647222]
[8.1965938, 46.1792743]
[8.4661827, 46.5176959]
[9.4214446, 46.3814813]
[9.2833549, 46.4970328]
[14.3163889, 47.16167]
[10.8803177, 42.8291784]
[9.1245765, 41.6008237]
[6.4147136, 44.8102815]
[6.5009284, 45.6675704]
[6.0330526, 44.9755607]
[6.5559471, 45.9557596]
[12.9821385, 46.6275692]
[13.9743017, 46.1771644]
[13.7697143, 46.4247004]
[8.9704423, 42.2646813]
[8.2230529, 46.324168]
[12.0141632, 46.5513917]
[12.2116667, 46.5069444]
[7.4761238, 45.6203085]
[6.5902138, 44.0210876]
[12.8267449, 47.6988381]
[12.4407003, 47.698953]
[14.9344924, 47.5027018]
[15.6634623, 47.956781]
[13.1467038, 46.6857634]
[9.4688633, 45.8584126]
[9.0401883, 46.4936488]
[8.4853157, 47.0567184]
[7.8839609, 46.0231331]
[9.3430556, 46.8983333]
[13.48596, 47.666806]
[11.8035474, 47.6368812]
[6.6102786, 46.1892455]
[12.2775, 46.6886111]
[6.6274936, 45.1013915]
[5.7451892, 44.4301972]
[5.7029086, 45.3352569]
[6.976051, 46.4318192]
[13.7123691, 46.8771124]
[13.4789117, 47.4154938]
[8.5261731, 46.25935]
[11.9345058, 47.6502332]
[9.3432366, 47.2493844]
[11.3886767, 43.55165]
[12.81169, 46.766706]
[11.9252778, 46.1636111]
[11.7351598, 46.5249262]
[8.7916721, 46.8880596]
[7.3164172, 46.6370246]
[13.4334854, 47.7765811]
[8.6925, 46.7019444]
[9.7074066, 47.0538526]
[11.8611348, 47.601085]
[14.2507093, 46.7968338]
[13.0693549, 47.3655085]
[13.2377291, 47.6061928]
[8.0755556, 46.6861093]
[9.9417535, 46.7357952]
[14.8658333, 47.7963889]
[8.83, 46.5716667]
[8.1158628, 46.1823812]
[12.8607024, 46.6065207]
[13.8209596, 46.432805]
[6.8727681, 45.2442786]
[15.9473771, 45.8992973]
[14.4475649, 45.5885047]
[6.6373695, 43.8953449]
[6.7824968, 45.4925008]
[6.6986036, 44.1519452]
[6.1205512, 44.43028]
[6.4791592, 43.9013897]
[15.0484917, 47.2270899]
[13.4105556, 46.655]
[9.5122222, 46.7558333]
